encuesta_id,nis
353,2053676
353,2053676
353,2053676
353,2053676
353,2053676
353,2053676
353,2053676
353,2053676
353,2053676
353,2053676
353,2053676
353,2053676
72,2053751
72,2053751
72,2053751
72,2053751
72,2053751
72,2053751
72,2053751
72,2053751
72,2053751
72,2053751
72,2053751
72,2053751
6,2053691
6,2053691
6,2053691
6,2053691
6,2053691
6,2053691
6,2053691
6,2053691
6,2053691
6,2053691
6,2053691
6,2053691
176,2053732
176,2053732
176,2053732
176,2053732
176,2053732
176,2053732
176,2053732
176,2053732
176,2053732
176,2053732
176,2053732
176,2053732
137,2040542
137,2040542
137,2040542
137,2040542
137,2040542
137,2040542
137,2040542
137,2040542
137,2040542
137,2040542
137,2040542
310,2053490
310,2053490
310,2053490
310,2053490
310,2053490
310,2053490
310,2053490
310,2053490
310,2053490
310,2053490
310,2053490
310,2053490
311,2053561
311,2053561
311,2053561
311,2053561
311,2053561
311,2053561
311,2053561
311,2053561
311,2053561
311,2053561
311,2053561
311,2053561
12,2053834
12,2053834
12,2053834
12,2053834
12,2053834
12,2053834
12,2053834
12,2053834
12,2053834
12,2053834
12,2053834
12,2053834
30,2770990
30,2770990
30,2770990
30,2770990
30,2770990
30,2770990
30,2770990
30,2770990
30,2770990
30,2770990
30,2770990
230,2040509
230,2040509
230,2040509
230,2040509
230,2040509
230,2040509
230,2040509
230,2040509
230,2040509
230,2040509
230,2040509
230,2040509
282,2626966
282,2626966
282,2626966
282,2626966
282,2626966
282,2626966
282,2626966
282,2626966
282,2626966
282,2626966
282,2626966
282,2626966
333,2030118
333,2030118
333,2030118
333,2030118
333,2030118
333,2030118
333,2030118
333,2030118
333,2030118
333,2030118
333,2030118
333,2030118
221,2001867
221,2001867
221,2001867
221,2001867
221,2001867
221,2001867
221,2001867
221,2001867
221,2001867
221,2001867
221,2001867
221,2001867
319,2000761
319,2000761
319,2000761
319,2000761
319,2000761
319,2000761
319,2000761
319,2000761
319,2000761
319,2000761
319,2000761
319,2000761
354,2001250
354,2001250
354,2001250
354,2001250
354,2001250
354,2001250
354,2001250
354,2001250
354,2001250
354,2001250
354,2001250
354,2001250
235,2001690
235,2001690
235,2001690
235,2001690
235,2001690
235,2001690
235,2001690
235,2001690
235,2001690
235,2001690
235,2001690
235,2001690
363,2596801
363,2596801
363,2596801
363,2596801
363,2596801
363,2596801
363,2596801
363,2596801
363,2596801
363,2596801
363,2596801
363,2596801
355,2001773
355,2001773
355,2001773
355,2001773
355,2001773
355,2001773
355,2001773
355,2001773
355,2001773
355,2001773
355,2001773
355,2001773
118,2109848
118,2109848
118,2109848
118,2109848
118,2109848
118,2109848
118,2109848
118,2109848
118,2109848
118,2109848
118,2109848
118,2109848
136,2116137
136,2116137
136,2116137
136,2116137
136,2116137
136,2116137
136,2116137
136,2116137
136,2116137
136,2116137
136,2116137
136,2116137
125,2109749
125,2109749
125,2109749
125,2109749
125,2109749
125,2109749
125,2109749
125,2109749
125,2109749
125,2109749
125,2109749
125,2109749
240,2032174
240,2032174
240,2032174
240,2032174
240,2032174
240,2032174
240,2032174
240,2032174
240,2032174
240,2032174
240,2032174
240,2032174
241,2000771
241,2000771
241,2000771
241,2000771
241,2000771
241,2000771
241,2000771
241,2000771
241,2000771
241,2000771
241,2000771
241,2000771
320,2001800
320,2001800
320,2001800
320,2001800
320,2001800
320,2001800
320,2001800
320,2001800
320,2001800
320,2001800
